"rank","city","state_id","census_2020","census_2010","change","state_name","latitude","longitude","costofliving","localpurchasingpower","groceries","rent","restaurant","f500_average_rank","f500_total_companies","f500_total_employees","f500_total_revenue","f500_total_profit","total_venues","total_superbowls"
1,"New York","NY",20140470,18897109,"0.0658","New York","40.6943","-73.9249","100","100","100","100","100","45",217,2056979,1101563,"125100.8",2,NULL
2,"Los Angeles","CA",13200998,12828837,"0.029","California","34.1139","-118.4068","79.77","101.94","75.58","76.74","91.39","5",239,200809,62007,"250.5",7,"2"
3,"Chicago","IL",9618502,9461105,"0.0166","Illinois","41.8373","-87.6862","77.33","120.44","72.28","59.14","78.49","9",251,500596,223695,"13237.2",9,NULL
4,"Dallas","TX",7637387,6366542,"0.1996","Texas","32.7936","-96.7662","66.62","154.38","60.73","50.19","72.03","9",208,582434,291732,"19832.2",4,NULL
5,"Houston","TX",7122240,5920416,"0.203","Texas","29.7863","-95.3889","63.05","146.14","58.87","44.99","67.34","17",255,323651,302452,"-9345.8",11,"3"
6,"Washington","DC",6385162,5649540,"0.1302","District of Columbia","38.9047","-77.0163","82.87","113.37","81.87","75.74","81.03","2",82,69000,127074,"14866.7",8,NULL
7,"Philadelphia","PA",6245051,5965343,"0.0469","Pennsylvania","40.0077","-75.1339","78.73","99.51","81.28","48.69","70.93","4",238,483242,109887,"9488.1",8,NULL
8,"Miami","FL",6138333,5564635,"0.1031","Florida","25.7839","-80.2102","78.39","82.17","76.43","64.82","80.22","3",252,47835,44753,"1300.8",4,"5"
9,"Atlanta","GA",6089815,5286728,"0.1519","Georgia","33.7627","-84.4224","75.26","121.78","77.77","50.25","65.57","13",228,1112420,329005,"30232.9",8,"3"
10,"Boston","MA",4941632,4552402,"0.0855","Massachusetts","42.3188","-71.0846","87.24","105.38","86.47","80.71","94","3",265,88290,54729,"4105.4",6,NULL
11,"Phoenix","AZ",4845832,4192887,"0.1557","Arizona","33.5722","-112.0891","69.27","112.93","65.35","42.88","72.56","3",194,80700,51396,"-3034.9",4,NULL
12,"San Francisco","CA",4749008,4335391,"0.0954","California","37.7562","-122.443","94.21","117.06","97.72","116.83","93.57","6",175,537300,335881,"28333.6",4,NULL
13,"Riverside","CA",4599839,4224851,"0.0888","California","33.9381","-117.3948",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
14,"Detroit","MI",4392041,4296250,"0.0223","Michigan","42.3834","-83.1024","68.57","102.08","65.19","40.02","67.95","3",189,242600,186845,"11362",5,"1"
15,"Seattle","WA",4018762,3439809,"0.1683","Washington","47.6211","-122.3244","86.25","128.62","84.31","68.46","87.8","6",257,713412,191991,"7814.5",6,NULL
16,"Minneapolis","MN",3690261,3346859,"0.1026","Minnesota","44.9635","-93.2678","81.02","104.72","83.66","46.96","78.92","6",190,461144,140421,"13347.6",5,"2"
17,"San Diego","CA",3298634,3095313,"0.0657","California","32.8312","-117.1225","74.5","108.41","71.94","70.05","78.71","2",200,47075,33737,"7075",5,"3"
18,"Tampa","FL",3175275,2783243,"0.1409","Florida","27.9942","-82.4451","75.08","97.97","80.07","44.94","71.15","1",195,7400,14237,"242.1",4,"4"
19,"Denver","CO",2963821,2543482,"0.1653","Colorado","39.7621","-104.8759","74.49","117.15","70.24","57.57","77.25","1",181,70300,15197,"879.9",4,NULL
20,"Baltimore","MD",2844510,2710489,"0.0494","Maryland","39.3051","-76.6144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL
21,"St. Louis","MO",2820253,2787701,"0.0117","Missouri","38.6358","-90.2451",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Orlando","FL",2673376,2134411,"0.2525","Florida","28.4772","-81.3369","66.84","117.15","65.65","42.71","65.7","1",385,150942,6934,"375",6,NULL
