X,Y,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE
-9797298.508,5315043.944,1,1,MILWAUKEE MILE,640 SOUTH 84TH STREET,WEST ALLIS,WI,53214,NOT AVAILABLE,(414) 266-7000,SINGLE USE,OPEN,45000,MILWAUKEE,55079,USA,43.02017994,-88.01062993,711212,RACETRACKS,http://wistatefair.com/wsfp/2018/01/22/milwaukee-mile-speedway/
-9198320.62,3219439.478,2,16,STREETS OF ST. PETERSBURG,BAYSHORE DRIVE SE,SAINT PETERSBURG,FL,33701,NOT AVAILABLE,(727) 898-4639,SINGLE USE,OPEN,-999,PINELLAS,12103,USA,27.76548993,-82.62992001,711212,RACETRACKS,http://www.gpstpete.com/
-13157142.78,3997054.057,3,17,STREETS OF LONG BEACH,300 EAST OCEAN BOULEVARD,LONG BEACH,CA,90802,NOT AVAILABLE,(562) 981-2600,SINGLE USE,OPEN,-999,LOS ANGELES,6037,USA,33.76323239,-118.1926246,711212,RACETRACKS,http://www.gplb.com/
-9642382.973,3966132.844,4,18,BARBER MOTORSPORTS PARK,6040 BARBER MOTORSPORTS PKY,BIRMINGHAM,AL,35094,NOT AVAILABLE,(205) 298-9040,SINGLE USE,OPEN,-999,JEFFERSON,1073,USA,33.532,-86.619,711212,RACETRACKS,https://barberracingevents.com/
-8840529.757,5408873.39,5,20,STREETS OF TORONTO,100 PRINCES' BOULEVARD,TORONTO,ON,M6K 3C3,NOT AVAILABLE,(416) 588-7223,SINGLE USE,OPEN,-999,TORONTO,3520005,CAN,43.63333,-79.41583,711212,RACETRACKS,http://hondaindy.com/
-9199385.932,4966425.276,6,22,MID-OHIO SPORTS CAR COURSE,7721 STEAM CORNERS ROAD,LEXINGTON,OH,44904,NOT AVAILABLE,(419) 884-4000,MULTIUSE,OPEN,10000,MORROW,39117,USA,40.68796723,-82.63948987,711212,RACETRACKS,http://midohio.com/
-9239282.052,5211628.573,7,24,BELLE ISLE,STRAND DR.,DETROIT,MI,48207,NOT AVAILABLE,(313) 748-1800,SINGLE USE,OPEN,-999,WAYNE,26163,USA,42.33722394,-82.99788282,711212,RACETRACKS,http://detroitgp.com/
-8206860.252,4970316.834,9,27,BELMONT PARK RACE TRACK,2150 HEMPSTEAD TURNPIKE,ELMONT,NY,11003,1551,(718) 641-4700,SINGLE USE,OPEN,32941,NASSAU,36059,USA,40.71446995,-73.72347999,711212,RACETRACKS,http://www.nyra.com/belmont/
-9547942.862,4608035.08,10,28,CHURCHILL DOWNS,700 CENTRAL AVENUE,LOUISVILLE,KY,40208,1200,(502) 636-4400,SINGLE USE,OPEN,51000,JEFFERSON,21111,USA,38.20224008,-85.77063004,711212,RACETRACKS,http://www.churchilldowns.com
-13053685.27,3892243.54,11,29,DEL MAR,2260 JIMMY DURANTE BOULEVARD,DEL MAR,CA,92014,NOT AVAILABLE,(858) 755-1141,SINGLE USE,OPEN,14304,SAN DIEGO,6073,USA,32.97694004,-117.2632499,711212,RACETRACKS,https://www.dmtc.com
