latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
36.36477,-94.21763,1,WALMART,702 SW 8TH STREET,Bentonville,AR,2300000,485873,13643
41.25721,-95.96556,2,BERKSHIRE HATHAWAY,3555 FARNAM STREET,Omaha,NE,367700,223604,24074
37.33177,-122.03042,3,APPLE,1 INFINITE LOOP,Cupertino,CA,116000,215639,45687
32.89021,-96.94977,4,EXXON MOBIL,5959 LAS COLINAS BOULEVARD,Irving,TX,72700,205004,7840
37.78877,-122.40257,5,MCKESSON,1 POST STREET,San Francisco,CA,68000,192487,2258
44.89756,-93.40318,6,UNITEDHEALTH GROUP,9900 BREN ROAD EAST,Minnetonka,MN,230000,184840,7017
41.99339,-71.47789,7,CVS HEALTH,1 CVS DRIVE,Woonsocket,RI,204000,177526,5317
42.32942,-83.04079,8,GENERAL MOTORS,300 RENAISSANCE CENTER,Detroit,MI,225000,166380,9427
32.77946,-96.7993,9,AT&T,208 SOUTH AKARD STREET,Dallas,TX,268540,163786,12976
42.31475,-83.2094,10,FORD MOTOR,1 AMERICAN ROAD,Dearborn,MI,201000,151800,4596
40.0692,-75.46781,11,AMERISOURCEBERGEN,1300 MORRIS DRIVE,Chesterbrook,PA,18500,146850,1427.9
47.62226,-122.33676,12,AMAZON.COM,410 TERRY AVENUE NORTH,Seattle,WA,341400,135987,2371
41.21922,-73.25309,13,GENERAL ELECTRIC,3135 EASTON TURNPIKE,Fairfield,CT,295000,126661,8831
40.754677,-73.984931,14,VERIZON COMMUNICATIONS,1095 AVENUE OF THE AMERICAS,New York,NY,160900,125980,13127
40.10899,-83.12077,15,CARDINAL HEALTH,7000 CARDINAL PLACE,Dublin,OH,37300,121546,1427
47.54779,-122.05035,16,COSTCO,999 LAKE DRIVE,Issaquah,WA,172000,118719,2350
42.1552,-87.86746,17,WALGREENS BOOTS ALLIANCE,108 WILMOT ROAD,Deerfield,IL,300000,117351,4173
39.10673,-84.51422,18,KROGER,1014 VINE STREET,Cincinnati,OH,443000,115337,1975
37.75832,-121.95969,19,CHEVRON,6001 BOLLINGER CANYON ROAD,San Ramon,CA,55200,107567,-497
38.94045,-77.07715,20,FANNIE MAE,3900 WISCONSIN AVENUE NW,Washington,DC,7000,107162,12313
40.75598,-73.97599,21,J.P. MORGAN CHASE,270 PARK AVENUE,New York,NY,243355,105486,24733
38.71851,-90.31114,22,EXPRESS SCRIPTS HOLDING,1 EXPRESS WAY,Saint Louis,MO,25600,100288,3404.4
33.86197,-84.48297,23,HOME DEPOT,2455 PACES FERRY ROAD NW,Atlanta,GA,406000,94595,7957
41.88355,-87.63855,24,BOEING,100 NORTH RIVERSIDE PLAZA,Chicago,IL,150540,94571,4895
37.7934,-122.4024,25,WELLS FARGO,420 MONTGOMERY STREET,San Francisco,CA,269100,94176,21938
35.22704,-80.84207,26,BANK OF AMERICA CORP.,100 NORTH TRYON STREET,Charlotte,NC,208024,93662,17906
37.42202,-122.08432,27,ALPHABET,1600 AMPHITHEATRE PARKWAY,Mountain View,CA,72053,90272,19478
47.64005,-122.1298,28,MICROSOFT,1 MICROSOFT WAY,Redmond,WA,114000,85320,16798
39.76913,-86.15881,29,ANTHEM,120 MONUMENT CIRCLE,Indianapolis,IN,53000,84863,2469.8
40.75901,-73.97153,30,CITIGROUP,399 PARK AVENUE,New York,NY,219000,82386,14912
39.95468,-75.16848,31,COMCAST,1701 JOHN F KENNEDY BOULEVARD,Philadelphia,PA,159000,80403,8695
41.10754,-73.72124,32,IBM,1 NEW ORCHARD ROAD,Armonk,NY,414400,79919,11872
40.47689,-88.95483,33,STATE FARM INSURANCE COS.,1 STATE FARM PLAZA,Bloomington,IL,68234,76132,350.3
29.740913,-95.560908,34,PHILLIPS 66,2331 CITYWEST BOULEVARD,Houston,TX,14800,72396,1555
40.49804,-74.44296,35,JOHNSON & JOHNSON,1 JOHNSON AND JOHNSON PLAZA,New Brunswick,NJ,126400,71890,16540
39.10311,-84.50542,36,PROCTER & GAMBLE,1 PROCTER AND GAMBLE PLAZA,Cincinnati,OH,105000,71726,10508
29.58919,-98.606,37,VALERO ENERGY,1 VALERO WAY,San Antonio,TX,9996,70166,2289
44.97396,-93.27563,38,TARGET,1000 NICOLLET MALL,Minneapolis,MN,323000,69495,2737
38.93286,-77.22706,39,FREDDIE MAC,8200 JONES BRANCH DRIVE,Mclean,VA,5982,65665,7815
35.54119,-80.85421,40,LOWE'S,1000 LOWE'S BOULEVARD,Mooresville,NC,240000,65017,3093
30.48641,-97.67513,41,DELL TECHNOLOGIES,1 DELL WAY,Round Rock,TX,138000,64806,-1672
40.75306,-73.97776,42,METLIFE,200 PARK AVENUE,New York,NY,58000,63476,800
41.76776,-72.69221,43,AETNA,151 FARMINGTON AVENUE,Hartford,CT,49500,63155,2271
41.03475,-73.69335,44,PEPSICO,700 ANDERSON HILL ROAD,Purchase,NY,264000,62799,6329
39.86725,-88.88608,45,ARCHER DANIELS MIDLAND,4666 FARIES PARKWAY,Decatur,IL,31800,62346,1279
33.94199,-84.36142,46,UPS,55 GLENLAKE PARKWAY NE,Atlanta,GA,335520,60906,3431
37.38851,-121.96375,47,INTEL,2200 MISSION COLLEGE BOULEVARD,Santa Clara,CA,106000,59387,10316
40.73666,-74.17158,48,PRUDENTIAL FINANCIAL,751 BROAD STREET,Newark,NJ,49739,58779,4368
43.59974,-116.18099,49,ALBERTSONS COS.,250 PARKCENTER BOULEVARD,Boise,ID,274000,58734,-502.2
41.708447,-72.803224,50,UNITED TECHNOLOGIES,10 FARM SPRINGS ROAD,Farmington,CT,201600,57244,5055
41.03602,-83.64974,51,MARATHON PETROLEUM,539 SOUTH MAIN STREET,Findlay,OH,44460,55858,1174
34.15687,-118.32503,52,DISNEY,500 SOUTH BUENA VISTA STREET,Burbank,CA,195000,55632,9391
38.25647,-85.75889,53,HUMANA,500 WEST MAIN STREET,Louisville,KY,51600,54379,614
40.75039,-73.97252,54,PFIZER,235 EAST 42ND STREET,New York,NY,96500,52824,7215
40.70636,-74.00513,55,AIG,175 WATER STREET,New York,NY,56400,52367,-849
39.031,-77.13895,56,LOCKHEED MARTIN,6801 ROCKLEDGE DRIVE,Bethesda,MD,97000,50658,5302
29.75826,-95.62004,57,SYSCO,1390 ENCLAVE PARKWAY,Houston,TX,51900,50367,949.6
35.10565,-89.85831,58,FEDEX,942 SOUTH SHADY GROVE ROAD,Memphis,TN,335767,50365,1820
37.41467,-122.14572,59,HEWLETT PACKARD ENTERPRISE,3000 HANOVER STREET,Palo Alto,CA,195000,50123,3161
37.40866,-121.9537,60,CISCO SYSTEMS,170 WEST TASMAN DRIVE,San Jose,CA,73700,49247,10739
37.41467,-122.14572,61,HP,3000 HANOVER STREET,Palo Alto,CA,49000,48238,2496
43.43742,-84.01462,62,DOW CHEMICAL,2030 DOW CENTER,Midland,MI,56000,48158,4318
36.15317,-86.81451,63,HCA HOLDINGS,1 PARK PLAZA,Nashville,TN,210500,44747,2890
33.77128,-84.39629,64,COCA-COLA,1 COCA-COLA PLAZA,Atlanta,GA,100300,41863,6527
40.74324,-73.98606,65,NEW YORK LIFE INSURANCE,51 MADISON AVENUE,New York,NY,11320,40787,1088.1
38.64954,-90.33465,66,CENTENE,7700 FORSYTH BOULEVARD,Saint Louis,MO,30500,40721,562
32.82564,-97.05058,67,AMERICAN AIRLINES GROUP,4333 AMON CARTER BOULEVARD,Fort Worth,TX,122300,40180,2676
39.96857,-83.00345,68,NATIONWIDE,1 NATIONWIDE BOULEVARD,Columbus,OH,34320,40074,334.3
40.677334,-74.272687,69,MERCK,2000 GALLOPING HILL ROAD,Kenilworth,NJ,68000,39807,3920
41.81703,-72.73874,70,CIGNA,900 COTTAGE GROVE ROAD,Bloomfield,CT,41000,39668,1867
33.6564,-84.42315,71,DELTA AIR LINES,1030 DELTA BOULEVARD,Atlanta,GA,83756,39639,4373
