Rank,City,State,2020 Census,2010 Census,% change
1,New York,NY,20140470,18897109,0.0658
2,Los Angeles,CA,13200998,12828837,0.029
3,Chicago,IL,9618502,9461105,0.0166
4,Dallas,TX,7637387,6366542,0.1996
5,Houston,TX,7122240,5920416,0.203
6,Washington,DC,6385162,5649540,0.1302
7,Philadelphia,PA,6245051,5965343,0.0469
8,Miami,FL,6138333,5564635,0.1031
9,Atlanta,GA,6089815,5286728,0.1519
10,Boston,MA,4941632,4552402,0.0855
11,Phoenix,AZ,4845832,4192887,0.1557
12,San Francisco,CA,4749008,4335391,0.0954
13,Riverside,CA,4599839,4224851,0.0888
14,Detroit,MI,4392041,4296250,0.0223
15,Seattle,WA,4018762,3439809,0.1683
16,Minneapolis,MN,3690261,3346859,0.1026
17,San Diego,CA,3298634,3095313,0.0657
18,Tampa,FL,3175275,2783243,0.1409
19,Denver,CO,2963821,2543482,0.1653
20,Baltimore,MD,2844510,2710489,0.0494
21,St. Louis,MO,2820253,2787701,0.0117
22,Orlando,FL,2673376,2134411,0.2525
23,Charlotte,NC,2660329,2243960,0.1856
24,San Antonio,TX,2558143,2142508,0.194
25,Portland,OR,2512859,2226009,0.1289
26,Sacramento,CA,2397382,2149127,0.1155
27,Pittsburgh,PA,2370930,2356285,0.0062
28,Austin,TX,2283371,1716289,0.3304
29,Las Vegas,NV,2265461,1951269,0.161
30,Cincinnati,OH,2256884,2137667,0.0558
31,Kansas City,MO,2192035,2009342,0.0909
32,Columbus,OH,2138926,1901974,0.1246
33,Indianapolis,IN,2111040,1887877,0.1182
34,Cleveland,OH,2088251,2077240,0.0053
35,San Jose,CA,2000468,1836911,0.089
36,Nashville,TN,1989519,1646200,0.2086
37,Virginia Beach,VA,1799674,1713954,0.05
38,Providence,RI,1676579,1600852,0.0473
39,Jacksonville,FL,1605848,1345596,0.1934
40,Milwaukee,WI,1574731,1555908,0.0121
41,Oklahoma City,OK,1425695,1252987,0.1378
42,Raleigh,NC,1413982,1130490,0.2508
43,Memphis,TN,1337779,1316100,0.0165
44,Richmond,VA,1314434,1186501,0.1078
45,Louisville,KY,1285439,1202718,0.0688
46,New Orleans,LA,1271845,1189866,0.0689
47,Salt Lake City,UT,1257936,1087873,0.1563
48,Hartford,CT,1213531,1212381,0.0009
49,Buffalo,NY,1166902,1135509,0.0276
50,Birmingham,AL,1115289,1061024,0.0511
51,Rochester,NY,1090135,1079671,0.0097
52,Grand Rapids,MI,1087592,993670,0.0945
53,Tucson,AZ,1043433,980263,0.0644
54, Honolulu,HI,1016508,953207,0.0664
55,Tulsa,OK,1015331,937478,0.083
56,Fresno,CA,1008654,930450,0.084
57,Worcester,MA,978529,916980,0.0671
58,Omaha,NE,967604,865350,0.1182
59,Bridgeport,CT,957419,916829,0.0443
60,Greenville,SC,928195,824112,0.1263
61,Albuquerque,NM,916528,887077,0.0332
62,Bakersfield,CA,909235,839631,0.0829
63,Albany,NY,899262,870716,0.0328
64,Knoxville,TN,879773,814914,0.0796
65,McAllen,TX,870781,774769,0.1239
66,Baton Rouge,LA,870569,825905,0.0541
67,El Paso,TX,868859,804123,0.0805
68,New Haven,CT,864835,862477,0.0027
69,Allentown,PA,861889,821173,0.0496
70,Oxnard,CA,843843,823318,0.0249
71,North Port,FL,833716,702281,0.1872
72,Columbia,SC,829470,767598,0.0806
73,Dayton,OH,814049,799232,0.0185
74,Charleston,SC,799636,664607,0.2032
75,Stockton,CA,779233,685306,0.1371
76,Greensboro,NC,776566,723801,0.0729
77,Boise City,ID,764718,616561,0.2403
78,Cape Coral,FL,760822,618754,0.2296
79,Colorado Springs,CO,755105,645613,0.1696
80,Little Rock,AR,748031,699757,0.069
81,Lakeland,FL,725046,602095,0.2042
82,Des Moines,IA,709466,606475,0.1698
83,Akron,OH,702219,703200,-0.0014
84,Springfield,MA,699162,692942,0.009
85,Poughkeepsie,NY,697221,670301,0.0402
86,Ogden,UT,694863,597159,0.1636
87,Madison,WI,680796,605435,0.1245
88,Winston,NC,675966,640595,0.0552
89,Provo,UT,671185,526810,0.2741
90,Deltona,FL,668921,590289,0.1332
91,Syracuse,NY,662057,662577,-0.0008
92,Durham,NC,649903,564273,0.1518
93,Wichita,KS,647610,623061,0.0394
94,Toledo,OH,646604,651429,-0.0074
95,Augusta,GA,611000,564873,0.0817
96,Palm Bay,FL,606612,543376,0.1164
97,Jackson,MS,591978,586320,0.0097
98,Harrisburg,PA,591712,549475,0.0769
99,Spokane,WA,585784,514752,0.138
100,Scranton,PA,567559,563631,0.007
101,Chattanooga,TN,562647,528143,0.0653
102,Lancaster,PA,552984,519445,0.0646
103,Modesto,CA,552878,514453,0.0747
104,Portland,ME,551740,514098,0.0732
105,Fayetteville,AR,546725,440121,0.2422
106,Lansing,MI,541297,534684,0.0124
107,Youngstown,OH,541243,565773,-0.0434
108,Fayetteville,NC,520378,481061,0.0817
109,Lexington,KY,516811,472099,0.0947
110,Pensacola,FL,509905,448991,0.1357
111,Huntsville,AL,491723,417593,0.1775
112,Reno,NV,490596,425417,0.1532
113,Santa Rosa,CA,488863,483878,0.0103
114,Myrtle Beach,SC,487722,376722,0.2946
115,Port St. Lucie,FL,487657,424107,0.1498
116,Lafayette,LA,478384,466750,0.0249
117,Springfield,MO,475432,436712,0.0887
118,Killeen,TX,475367,405300,0.1729
119,Visalia,CA,473117,442179,0.07
120,Asheville,NC,469015,424858,0.1039
121,York,PA,456438,434972,0.0494
