date,superbowl_num,winner,winner_points,loser,loser_points,mvp,stadium,city,state,year
Feb 2 2020,LIV (54),Kansas City Chiefs,31,San Francisco 49ers,20,Patrick Mahomes,hard rock stadium,Miami Gardens,Florida,2020
Feb 3 2019,LIII (53),New England Patriots,13,Los Angeles Rams,3,Julian Edelman,mercedes-benz stadium,Atlanta,Georgia,2019
Feb 4 2018,LII (52),Philadelphia Eagles,41,New England Patriots,33,Nick Foles,u.s. bank stadium,Minneapolis,Minnesota,2018
Feb 5 2017,LI (51),New England Patriots,34,Atlanta Falcons,28,Tom Brady,nrg stadium,Houston,Texas,2017
Feb 7 2016,50,Denver Broncos,24,Carolina Panthers,10,Von Miller,levi's stadium,Santa Clara,California,2016
Feb 1 2015,XLIX (49),New England Patriots,28,Seattle Seahawks,24,Tom Brady,university of phoenix stadium,Glendale,Arizona,2015
Feb 2 2014,XLVIII (48),Seattle Seahawks,43,Denver Broncos,8,Malcolm Smith,metlife stadium,East Rutherford,New Jersey,2014
Feb 3 2013,XLVII (47),Baltimore Ravens,34,San Francisco 49ers,31,Joe Flacco,mercedes-benz superdome,New Orleans,Louisiana,2013
Feb 5 2012,XLVI (46),New York Giants,21,New England Patriots,17,Eli Manning,lucas oil stadium,Indianapolis,Indiana,2012
Feb 6 2011,XLV (45),Green Bay Packers,31,Pittsburgh Steelers,25,Aaron Rodgers,cowboys stadium,Arlington,Texas,2011
Feb 7 2010,XLIV (44),New Orleans Saints,31,Indianapolis Colts,17,Drew Brees,sun life stadium,Miami Gardens,Florida,2010
Feb 1 2009,XLIII (43),Pittsburgh Steelers,27,Arizona Cardinals,23,Santonio Holmes,raymond james stadium,Tampa,Florida,2009
Feb 3 2008,XLII (42),New York Giants,17,New England Patriots,14,Eli Manning,university of phoenix stadium,Glendale,Arizona,2008
Feb 4 2007,XLI (41),Indianapolis Colts,29,Chicago Bears,17,Peyton Manning,dolphin stadium,Miami Gardens,Florida,2007
Feb 5 2006,XL (40),Pittsburgh Steelers,21,Seattle Seahawks,10,Hines Ward,ford field,Detroit,Michigan,2006
Feb 6 2005,XXXIX (39),New England Patriots,24,Philadelphia Eagles,21,Deion Branch,alltel stadium,Jacksonville,Florida,2005
Feb 1 2004,XXXVIII (38),New England Patriots,32,Carolina Panthers,29,Tom Brady,reliant stadium,Houston,Texas,2004
Jan 26 2003,XXXVII (37),Tampa Bay Buccaneers,48,Oakland Raiders,21,Dexter Jackson,qualcomm stadium,San Diego,California,2003
Feb 3 2002,XXXVI (36),New England Patriots,20,St. Louis Rams,17,Tom Brady,louisiana superdome,New Orleans,Louisiana,2002
Jan 28 2001,XXXV (35),Baltimore Ravens,34,New York Giants,7,Ray Lewis+,raymond james stadium,Tampa,Florida,2001
Jan 30 2000,XXXIV (34),St. Louis Rams,23,Tennessee Titans,16,Kurt Warner+,georgia dome,Atlanta,Georgia,2000
Jan 31 1999,XXXIII (33),Denver Broncos,34,Atlanta Falcons,19,John Elway+,pro player stadium,Miami Gardens,Florida,1999
Jan 25 1998,XXXII (32),Denver Broncos,31,Green Bay Packers,24,Terrell Davis+,qualcomm stadium,San Diego,California,1998
Jan 26 1997,XXXI (31),Green Bay Packers,35,New England Patriots,21,Desmond Howard,louisiana superdome,New Orleans,Louisiana,1997
Jan 28 1996,XXX (30),Dallas Cowboys,27,Pittsburgh Steelers,17,Larry Brown,sun devil stadium,Tempe,Arizona,1996
Jan 29 1995,XXIX (29),San Francisco 49ers,49,San Diego Chargers,26,Steve Young+,joe robbie stadium,Miami Gardens,Florida,1995
Jan 30 1994,XXVIII (28),Dallas Cowboys,30,Buffalo Bills,13,Emmitt Smith+,georgia dome,Atlanta,Georgia,1994
Jan 31 1993,XXVII (27),Dallas Cowboys,52,Buffalo Bills,17,Troy Aikman+,rose bowl,Pasadena,California,1993
Jan 26 1992,XXVI (26),Washington Redskins,37,Buffalo Bills,24,Mark Rypien,metrodome,Minneapolis,Minnesota,1992
Jan 27 1991,XXV (25),New York Giants,20,Buffalo Bills,19,Ottis Anderson,tampa stadium,Tampa,Florida,1991
Jan 28 1990,XXIV (24),San Francisco 49ers,55,Denver Broncos,10,Joe Montana+,louisiana superdome,New Orleans,Louisiana,1990
Jan 22 1989,XXIII (23),San Francisco 49ers,20,Cincinnati Bengals,16,Jerry Rice+,joe robbie stadium,Miami Gardens,Florida,1989
Jan 31 1988,XXII (22),Washington Redskins,42,Denver Broncos,10,Doug Williams,jack murphy stadium,San Diego,California,1988
Jan 25 1987,XXI (21),New York Giants,39,Denver Broncos,20,Phil Simms,rose bowl,Pasadena,California,1987
Jan 26 1986,XX (20),Chicago Bears,46,New England Patriots,10,Richard Dent+,louisiana superdome,New Orleans,Louisiana,1986
Jan 20 1985,XIX (19),San Francisco 49ers,38,Miami Dolphins,16,Joe Montana+,stanford stadium,Palo Alto,California,1985
Jan 22 1984,XVIII (18),Los Angeles Raiders,38,Washington Redskins,9,Marcus Allen+,tampa stadium,Tampa,Florida,1984
Jan 30 1983,XVII (17),Washington Redskins,27,Miami Dolphins,17,John Riggins+,rose bowl,Pasadena,California,1983
Jan 24 1982,XVI (16),San Francisco 49ers,26,Cincinnati Bengals,21,Joe Montana+,pontiac silverdome,Pontiac,Michigan,1982
Jan 25 1981,XV (15),Oakland Raiders,27,Philadelphia Eagles,10,Jim Plunkett,louisiana superdome,New Orleans,Louisiana,1981
Jan 20 1980,XIV (14),Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw+,rose bowl,Pasadena,California,1980
Jan 21 1979,XIII (13),Pittsburgh Steelers,35,Dallas Cowboys,31,Terry Bradshaw+,orange bowl,Miami,Florida,1979
Jan 15 1978,XII (12),Dallas Cowboys,27,Denver Broncos,10,Harvey MartinRandy White+,superdome,New Orleans,Louisiana,1978
Jan 9 1977,XI (11),Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff+,rose bowl,Pasadena,California,1977
Jan 18 1976,X (10),Pittsburgh Steelers,21,Dallas Cowboys,17,Lynn Swann+,orange bowl,Miami,Florida,1976
Jan 12 1975,IX (9),Pittsburgh Steelers,16,Minnesota Vikings,6,Franco Harris+,tulane stadium,New Orleans,Louisiana,1975
Jan 13 1974,VIII (8),Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka+,rice stadium,Houston,Texas,1974
Jan 14 1973,VII (7),Miami Dolphins,14,Washington Redskins,7,Jake Scott,memorial coliseum,Los Angeles,California,1973
Jan 16 1972,VI (6),Dallas Cowboys,24,Miami Dolphins,3,Roger Staubach+,tulane stadium,New Orleans,Louisiana,1972
Jan 17 1971,V (5),Baltimore Colts,16,Dallas Cowboys,13,Chuck Howley,orange bowl,Miami,Florida,1971
Jan 11 1970,IV (4),Kansas City Chiefs,23,Minnesota Vikings,7,Len Dawson+,tulane stadium,New Orleans,Louisiana,1970
Jan 12 1969,III (3),New York Jets,16,Baltimore Colts,7,Joe Namath+,orange bowl,Miami,Florida,1969
Jan 14 1968,II (2),Green Bay Packers,33,Oakland Raiders,14,Bart Starr+,orange bowl,Miami,Florida,1968
Jan 15 1967,I (1),Green Bay Packers,35,Kansas City Chiefs,10,Bart Starr+,memorial coliseum,Los Angeles,California,1967
