,date,superbowl_num,winner,winner_points,loser,loser_points,mvp,stadium,city,state,year,latitude,longitude
0,Feb 2 2020,LIV (54),Kansas City Chiefs,31,San Francisco 49ers,20,Patrick Mahomes,hard rock stadium,Miami Gardens,Florida,2020,25.957938632,-80.238854262
1,Feb 3 2019,LIII (53),New England Patriots,13,Los Angeles Rams,3,Julian Edelman,mercedes-benz stadium,Atlanta,Georgia,2019,33.7556685050001,-84.401178452
2,Feb 4 2018,LII (52),Philadelphia Eagles,41,New England Patriots,33,Nick Foles,u.s. bank stadium,Minneapolis,Minnesota,2018,44.973533,-93.2574049999999
3,Feb 5 2017,LI (51),New England Patriots,34,Atlanta Falcons,28,Tom Brady,nrg stadium,Houston,Texas,2017,29.6849299410001,-95.410919978
4,Feb 7 2016,50,Denver Broncos,24,Carolina Panthers,10,Von Miller,levi's stadium,Santa Clara,California,2016,37.4030000000001,-121.97
5,Feb 2 2014,XLVIII (48),Seattle Seahawks,43,Denver Broncos,8,Malcolm Smith,metlife stadium,East Rutherford,New Jersey,2014,40.8135386160001,-74.074392411
6,Feb 3 2013,XLVII (47),Baltimore Ravens,34,San Francisco 49ers,31,Joe Flacco,mercedes-benz superdome,New Orleans,Louisiana,2013,29.9510529130001,-90.081315682
7,Feb 5 2012,XLVI (46),New York Giants,21,New England Patriots,17,Eli Manning,lucas oil stadium,Indianapolis,Indiana,2012,39.760059487,-86.1635383029999
8,Feb 1 2009,XLIII (43),Pittsburgh Steelers,27,Arizona Cardinals,23,Santonio Holmes,raymond james stadium,Tampa,Florida,2009,27.9759300000001,-82.5033
9,Jan 28 2001,XXXV (35),Baltimore Ravens,34,New York Giants,7,Ray Lewis+,raymond james stadium,Tampa,Florida,2001,27.9759300000001,-82.5033
10,Feb 5 2006,XL (40),Pittsburgh Steelers,21,Seattle Seahawks,10,Hines Ward,ford field,Detroit,Michigan,2006,42.340049976,-83.045639968
11,Jan 28 1996,XXX (30),Dallas Cowboys,27,Pittsburgh Steelers,17,Larry Brown,sun devil stadium,Tempe,Arizona,1996,33.42641,-111.932529999
12,Jan 31 1993,XXVII (27),Dallas Cowboys,52,Buffalo Bills,17,Troy Aikman+,rose bowl,Pasadena,California,1993,34.1612900000001,-118.167580001
13,Jan 25 1987,XXI (21),New York Giants,39,Denver Broncos,20,Phil Simms,rose bowl,Pasadena,California,1987,34.1612900000001,-118.167580001
14,Jan 30 1983,XVII (17),Washington Redskins,27,Miami Dolphins,17,John Riggins+,rose bowl,Pasadena,California,1983,34.1612900000001,-118.167580001
15,Jan 20 1980,XIV (14),Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw+,rose bowl,Pasadena,California,1980,34.1612900000001,-118.167580001
16,Jan 9 1977,XI (11),Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff+,rose bowl,Pasadena,California,1977,34.1612900000001,-118.167580001
17,Jan 20 1985,XIX (19),San Francisco 49ers,38,Miami Dolphins,16,Joe Montana+,stanford stadium,Palo Alto,California,1985,37.4345000000001,-122.16111
18,Jan 13 1974,VIII (8),Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka+,rice stadium,Houston,Texas,1974,29.71633,-95.40932
