,Rank,Metropolitan statistical area,2020 Census,2010 Census,% change,Encompassing combined statistical area
0,1,"New York-Newark-Jersey City, NY-NJ-PA MSA",20140470,18897109,+6.58%,"New York-Newark, NY-NJ-CT-PA CSA"
1,2,"Los Angeles-Long Beach-Anaheim, CA MSA",13200998,12828837,+2.90%,"Los Angeles-Long Beach, CA CSA"
2,3,"Chicago-Naperville-Elgin, IL-IN-WI MSA",9618502,9461105,+1.66%,"Chicago-Naperville, IL-IN-WI CSA"
3,4,"Dallas-Fort Worth-Arlington, TX MSA",7637387,6366542,+19.96%,"Dallas-Fort Worth, TX-OK CSA"
4,5,"Houston-The Woodlands-Sugar Land, TX MSA",7122240,5920416,+20.30%,"Houston-The Woodlands, TX CSA"
5,6,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",6385162,5649540,+13.02%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
6,7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",6245051,5965343,+4.69%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
7,8,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",6138333,5564635,+10.31%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
8,9,"Atlanta-Sandy Springs-Alpharetta, GA MSA",6089815,5286728,+15.19%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
9,10,"Boston-Cambridge-Newton, MA-NH MSA",4941632,4552402,+8.55%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
10,11,"Phoenix-Mesa-Chandler, AZ MSA",4845832,4192887,+15.57%,"Phoenix-Mesa, AZ CSA"
11,12,"San Francisco-Oakland-Berkeley, CA MSA",4749008,4335391,+9.54%,"San Jose-San Francisco-Oakland, CA CSA"
12,13,"Riverside-San Bernardino-Ontario, CA MSA",4599839,4224851,+8.88%,"Los Angeles-Long Beach, CA CSA"
